NumComplaints,Address
250,37 FEATHERBED LANE
249,709 FAIRMOUNT PLACE
248,1420 GRAND CONCOURSE
246,633 OLMSTEAD AVENUE
246,825 MORRISON AVENUE
243,1413 PROSPECT AVENUE
243,2757 CLAFLIN AVENUE
243,835 WALTON AVENUE
243,1255 LONGFELLOW AVENUE
242,1849 SEDGWICK AVENUE
241,2111 SOUTHERN BOULEVARD
241,2195 GRAND CONCOURSE
241,2264 CRESTON AVENUE
239,514 EAST  138 STREET
239,1314 ELDER AVENUE
238,645 EAST 228 STREET
238,130 VAN CORTLANDT AVENUE WEST
237,1565 TOWNSEND AVENUE
236,1661 ANDREWS AVENUE SOUTH
235,870 COURTLANDT AVENUE
235,2518 WEBB AVENUE
235,1718 GRAND AVENUE
234,3021 HOLLAND AVENUE
233,1326 COMMONWEALTH AVENUE
233,1325 LAFAYETTE AVENUE
232,1800 DAVIDSON AVENUE
231,690 ALLERTON AVENUE
231,2069 WALTON AVENUE
231,2140 CRUGER AVENUE
230,335 EAST  148 STREET
230,3873 ORLOFF AVENUE
230,23 EAST MOSHOLU PARKWAY NORTH
229,405 EAST  182 STREET
229,2627 WEBSTER AVENUE
227,1755 WEEKS AVENUE
226,3150 BAILEY AVENUE
225,1107 BRYANT AVENUE
225,1184 EVERGREEN AVENUE
225,4568 MANH COLLEGE PARKWAY
225,11 WEST  172 STREET
223,1895 WALTON AVENUE
223,705 GERARD AVENUE
223,3433 GATES PLACE
222,41 ELLIOT PLACE
222,1340 MERRIAM AVENUE
221,3225 OLINVILLE AVENUE
220,1468 BRYANT AVENUE
220,2160 ANTHONY AVENUE
220,820 BOYNTON AVENUE
220,1824 DAVIDSON AVENUE
220,1535 UNDERCLIFF AVENUE
220,2194 BARNES AVENUE
219,1650 WILLIAMSBRIDGE ROAD
219,1940 ANDREWS AVENUE SOUTH
217,3604 BRONX BOULEVARD
217,3250 PERRY AVENUE
216,2556 COLDEN AVENUE
216,3075 HEATH AVENUE
215,2131 STARLING AVENUE
215,227 EAST  178 STREET
214,2800 BAILEY AVENUE
213,3425 KINGSBRIDGE AVENUE
213,3489 FT INDEPENDENCE STREET
213,810 RITTER PLACE
213,116 WEST  197 STREET
212,155 WEST  162 STREET
212,4030 BRONX BOULEVARD
212,3424 KINGSBRIDGE AVENUE
210,351 EAST  163 STREET
210,1781 CLAY AVENUE
210,4769 WHITE PLAINS ROAD
210,221 WEST  242 STREET
209,2180 BOLTON STREET
208,3053 HULL AVENUE
208,4360 BAYCHESTER AVENUE
207,1418 ZEREGA AVENUE
207,2301 CRESTON AVENUE
207,963 ANDERSON AVENUE
206,1517 WHITE PLAINS ROAD
206,1530 SHERIDAN AVENUE
205,1011 SHERIDAN AVENUE
205,2995 MARION AVENUE
205,35 MC CLELLAN STREET
